"C","DT","U:0","U:1","U:2","alpha.water","p","p_rgh","rho","cellID","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.5,1e-06,0,0,0,1,0,0,1000,0,1,0,0.0005,0,0.0005
0.53185,1e-06,0,3.5669e-20,0,1,-1.1416e-20,-1.1416e-20,1000,1,1,0.01,0.0005,0.01,0.0005
0.55309,1e-06,0,3.5438e-20,0,1,-1.2668e-20,-1.2668e-20,1000,2,1,0.016667,0.0005,0.016667,0.0005
0.57433,1e-06,0,3.3573e-20,0,1,-1.242e-20,-1.242e-20,1000,3,1,0.023333,0.0005,0.023333,0.0005
0.59556,1e-06,0,3.3075e-20,0,1,-1.2217e-20,-1.2217e-20,1000,4,1,0.03,0.0005,0.03,0.0005
0.6168,1e-06,0,3.3141e-20,0,1,-1.2189e-20,-1.2189e-20,1000,5,1,0.036667,0.0005,0.036667,0.0005
0.63803,1e-06,0,3.3212e-20,0,1,-1.2204e-20,-1.2204e-20,1000,6,1,0.043333,0.0005,0.043333,0.0005
0.65927,1e-06,0,3.3225e-20,0,1,-1.2212e-20,-1.2212e-20,1000,7,1,0.05,0.0005,0.05,0.0005
0.68051,1e-06,0,3.3221e-20,0,1,-1.2213e-20,-1.2213e-20,1000,8,1,0.056667,0.0005,0.056667,0.0005
0.70174,1e-06,0,3.3219e-20,0,1,-1.2213e-20,-1.2213e-20,1000,9,1,0.063333,0.0005,0.063333,0.0005
0.72298,1e-06,0,3.3219e-20,0,1,-1.2214e-20,-1.2214e-20,1000,10,1,0.07,0.0005,0.07,0.0005
0.74422,1e-06,0,3.3219e-20,0,1,-1.2215e-20,-1.2215e-20,1000,11,1,0.076667,0.0005,0.076667,0.0005
0.76545,1e-06,0,3.3219e-20,0,1,-1.2217e-20,-1.2217e-20,1000,12,1,0.083333,0.0005,0.083333,0.0005
0.78669,1e-06,0,3.322e-20,0,1,-1.2218e-20,-1.2218e-20,1000,13,1,0.09,0.0005,0.09,0.0005
0.80792,1e-06,0,3.322e-20,0,1,-1.2219e-20,-1.2219e-20,1000,14,1,0.096667,0.0005,0.096667,0.0005
0.82916,1e-06,0,3.322e-20,0,1,-1.2221e-20,-1.2221e-20,1000,15,1,0.10333,0.0005,0.10333,0.0005
0.8504,1e-06,0,3.322e-20,0,1,-1.2222e-20,-1.2222e-20,1000,16,1,0.11,0.0005,0.11,0.0005
0.87163,1e-06,0,3.322e-20,0,1,-1.2223e-20,-1.2223e-20,1000,17,1,0.11667,0.0005,0.11667,0.0005
0.89287,1e-06,0,3.322e-20,0,1,-1.2225e-20,-1.2225e-20,1000,18,1,0.12333,0.0005,0.12333,0.0005
0.9141,1e-06,0,3.322e-20,0,1,-1.2226e-20,-1.2226e-20,1000,19,1,0.13,0.0005,0.13,0.0005
0.93534,1e-06,0,3.322e-20,0,1,-1.2228e-20,-1.2228e-20,1000,20,1,0.13667,0.0005,0.13667,0.0005
0.95658,1e-06,0,3.3221e-20,0,1,-1.223e-20,-1.223e-20,1000,21,1,0.14333,0.0005,0.14333,0.0005
0.97781,1e-06,0,3.3221e-20,0,1,-1.2231e-20,-1.2231e-20,1000,22,1,0.15,0.0005,0.15,0.0005
0.99905,1e-06,0,3.3221e-20,0,1,-1.2233e-20,-1.2233e-20,1000,23,1,0.15667,0.0005,0.15667,0.0005
1.0203,1e-06,0,3.3221e-20,0,1,-1.2234e-20,-1.2234e-20,1000,24,1,0.16333,0.0005,0.16333,0.0005
1.0415,1e-06,0,3.3221e-20,0,1,-1.2236e-20,-1.2236e-20,1000,25,1,0.17,0.0005,0.17,0.0005
1.0628,1e-06,0,3.3221e-20,0,1,-1.2238e-20,-1.2238e-20,1000,26,1,0.17667,0.0005,0.17667,0.0005
1.084,1e-06,0,3.3221e-20,0,1,-1.224e-20,-1.224e-20,1000,27,1,0.18333,0.0005,0.18333,0.0005
1.1052,1e-06,0,3.3221e-20,0,1,-1.2241e-20,-1.2241e-20,1000,28,1,0.19,0.0005,0.19,0.0005
1.1265,1e-06,0,3.3221e-20,0,1,-1.2243e-20,-1.2243e-20,1000,29,1,0.19667,0.0005,0.19667,0.0005
1.1477,1e-06,0,3.3221e-20,0,1,-1.2245e-20,-1.2245e-20,1000,30,1,0.20333,0.0005,0.20333,0.0005
1.1689,1e-06,0,3.3221e-20,0,1,-1.2247e-20,-1.2247e-20,1000,31,1,0.21,0.0005,0.21,0.0005
1.1902,1e-06,0,3.3221e-20,0,1,-1.2248e-20,-1.2248e-20,1000,32,1,0.21667,0.0005,0.21667,0.0005
1.2114,1e-06,0,3.3221e-20,0,1,-1.225e-20,-1.225e-20,1000,33,1,0.22333,0.0005,0.22333,0.0005
1.2326,1e-06,0,3.3221e-20,0,1,-1.2252e-20,-1.2252e-20,1000,34,1,0.23,0.0005,0.23,0.0005
1.2539,1e-06,0,3.3221e-20,0,1,-1.2254e-20,-1.2254e-20,1000,35,1,0.23667,0.0005,0.23667,0.0005
1.2751,1e-06,0,3.3221e-20,0,1,-1.2255e-20,-1.2255e-20,1000,36,1,0.24333,0.0005,0.24333,0.0005
1.2964,1e-06,0,3.3221e-20,0,1,-1.2257e-20,-1.2257e-20,1000,37,1,0.25,0.0005,0.25,0.0005
1.3176,1e-06,0,3.3221e-20,0,1,-1.2259e-20,-1.2259e-20,1000,38,1,0.25667,0.0005,0.25667,0.0005
1.3388,1e-06,0,3.3221e-20,0,1,-1.2261e-20,-1.2261e-20,1000,39,1,0.26333,0.0005,0.26333,0.0005
1.3601,1e-06,0,3.3221e-20,0,1,-1.2263e-20,-1.2263e-20,1000,40,1,0.27,0.0005,0.27,0.0005
1.3813,1e-06,0,3.3221e-20,0,1,-1.2265e-20,-1.2265e-20,1000,41,1,0.27667,0.0005,0.27667,0.0005
1.4025,1e-06,0,3.3221e-20,0,1,-1.2266e-20,-1.2266e-20,1000,42,1,0.28333,0.0005,0.28333,0.0005
1.4238,1e-06,0,3.3221e-20,0,1,-1.2268e-20,-1.2268e-20,1000,43,1,0.29,0.0005,0.29,0.0005
1.445,1e-06,0,3.3221e-20,0,1,-1.227e-20,-1.227e-20,1000,44,1,0.29667,0.0005,0.29667,0.0005
1.4662,1e-06,0,3.3221e-20,0,1,-1.2272e-20,-1.2272e-20,1000,45,1,0.30333,0.0005,0.30333,0.0005
1.4875,1e-06,0,3.3221e-20,0,1,-1.2273e-20,-1.2273e-20,1000,46,1,0.31,0.0005,0.31,0.0005
1.5087,1e-06,0,3.3221e-20,0,1,-1.2275e-20,-1.2275e-20,1000,47,1,0.31667,0.0005,0.31667,0.0005
1.53,1e-06,0,3.3221e-20,0,1,-1.2277e-20,-1.2277e-20,1000,48,1,0.32333,0.0005,0.32333,0.0005
1.5512,1e-06,0,3.3221e-20,0,1,-1.2278e-20,-1.2278e-20,1000,49,1,0.33,0.0005,0.33,0.0005
1.5724,1e-06,0,3.3221e-20,0,1,-1.228e-20,-1.228e-20,1000,50,1,0.33667,0.0005,0.33667,0.0005
1.5937,1e-06,0,3.3221e-20,0,1,-1.2282e-20,-1.2282e-20,1000,51,1,0.34333,0.0005,0.34333,0.0005
1.6149,1e-06,0,3.3221e-20,0,1,-1.2283e-20,-1.2283e-20,1000,52,1,0.35,0.0005,0.35,0.0005
1.6361,1e-06,0,3.322e-20,0,1,-1.2285e-20,-1.2285e-20,1000,53,1,0.35667,0.0005,0.35667,0.0005
1.6574,1e-06,0,3.322e-20,0,1,-1.2286e-20,-1.2286e-20,1000,54,1,0.36333,0.0005,0.36333,0.0005
1.6786,1e-06,0,3.322e-20,0,1,-1.2288e-20,-1.2288e-20,1000,55,1,0.37,0.0005,0.37,0.0005
1.6998,1e-06,0,3.322e-20,0,1,-1.2289e-20,-1.2289e-20,1000,56,1,0.37667,0.0005,0.37667,0.0005
1.7211,1e-06,0,3.322e-20,0,1,-1.2291e-20,-1.2291e-20,1000,57,1,0.38333,0.0005,0.38333,0.0005
1.7423,1e-06,0,3.322e-20,0,1,-1.2292e-20,-1.2292e-20,1000,58,1,0.39,0.0005,0.39,0.0005
1.7635,1e-06,0,3.322e-20,0,1,-1.2294e-20,-1.2294e-20,1000,59,1,0.39667,0.0005,0.39667,0.0005
1.7848,1e-06,0,3.322e-20,0,1,-1.2295e-20,-1.2295e-20,1000,60,1,0.40333,0.0005,0.40333,0.0005
1.806,1e-06,0,3.3219e-20,0,1,-1.2296e-20,-1.2296e-20,1000,61,1,0.41,0.0005,0.41,0.0005
1.8273,1e-06,0,3.3219e-20,0,1,-1.2298e-20,-1.2298e-20,1000,62,1,0.41667,0.0005,0.41667,0.0005
1.8485,1e-06,0,3.3219e-20,0,1,-1.2299e-20,-1.2299e-20,1000,63,1,0.42333,0.0005,0.42333,0.0005
1.8697,1e-06,0,3.3219e-20,0,1,-1.23e-20,-1.23e-20,1000,64,1,0.43,0.0005,0.43,0.0005
1.891,1e-06,0,3.3218e-20,0,1,-1.2301e-20,-1.2301e-20,1000,65,1,0.43667,0.0005,0.43667,0.0005
1.9122,1e-06,0,3.3218e-20,0,1,-1.2302e-20,-1.2302e-20,1000,66,1,0.44333,0.0005,0.44333,0.0005
1.9334,1e-06,0,3.3218e-20,0,1,-1.2302e-20,-1.2302e-20,1000,67,1,0.45,0.0005,0.45,0.0005
1.9547,1e-06,0,3.3218e-20,0,1,-1.2303e-20,-1.2303e-20,1000,68,1,0.45667,0.0005,0.45667,0.0005
1.9759,1e-06,0,3.3217e-20,0,1,-1.2304e-20,-1.2304e-20,1000,69,1,0.46333,0.0005,0.46333,0.0005
1.9971,1e-06,0,3.3217e-20,0,1,-1.2304e-20,-1.2304e-20,1000,70,1,0.47,0.0005,0.47,0.0005
2.0184,1e-06,0,3.3217e-20,0,1,-1.2305e-20,-1.2305e-20,1000,71,1,0.47667,0.0005,0.47667,0.0005
2.0396,1e-06,0,3.3216e-20,0,1,-1.2305e-20,-1.2305e-20,1000,72,1,0.48333,0.0005,0.48333,0.0005
2.0609,1e-06,0,3.3216e-20,0,1,-1.2305e-20,-1.2305e-20,1000,73,1,0.49,0.0005,0.49,0.0005
1.7667,3.25e-06,0,3.3215e-20,0,0.75,-9.2084e-21,-9.2084e-21,750.25,74,1,0.49667,0.0005,0.49667,0.0005
1.1524,7.75e-06,0,3.3206e-20,0,0.25,-3.0144e-21,-3.0144e-21,250.75,75,1,0.50333,0.0005,0.50333,0.0005
0.84391,1e-05,0,3.3185e-20,0,0,8.2652e-23,8.2652e-23,1,76,1,0.51,0.0005,0.51,0.0005
